id,relationship_id,heading,meaning
122,121,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ลาภยศ โชคลาภ (ลาภะ)","ท่านมักจะได้รับโชคดีในเรื่องเงิน ๆ ทองๆ ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ อยู่เสมอ และมักจะได้ประสบโชคลาภ ในเรื่องเงิน ๆทองๆ ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ อย่างไม่นึกฝัน ลงทุนทำสิ่งใดมักได้ผลดี"
123,121,"เพื่อนฝูง การติดต่อ (สหัชชะ) สัมพันธ์กับ ลาภยศ โชคลาภ (ลาภะ)","ท่านมีโชควาสนาดี จะได้ลาภผลอันใดลาภผลอันใดลาภผลอันนั้นจะเกิดจากคบหาสมาคมกับเพื่อนฝูงมิตรสหายเป็นส่วนมาก ท่านย่อมจะเป็นคนที่รู้จักเอาอกเอาใจเพื่อนฝูง จึงเป็นเหตุให้ท่านเป็นคนได้รับความช่วยเหลือและความเห็นอกเห็นใจจากเพื่อนฝูงเสมอมิตรสหาย แล้วแต่เต็มอกเต็มใจจะให้ความช่วยเหลือต่อท่าน ทุกวิถีทางถึงท่านจะเป็นคนจนอย่างไรก็ดี ก็จะมีเพื่อนฝูงมากชักชวน หรือช่วยให้ทุนในการหาเลี้ยงชีพ ครั้นภายหลังผู้นั้นจะมีฐานะเป็นปึกแผ่นมั่นคง เพราะมีเพื่อนฝูงนั้นเป็นผู้คอยให้ความช่วยเหลืออยู่เสมอ"
124,124,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ เพื่อนฝูง การติดต่อ (สหัชชะ)","ท่านมีมิตรสหายและเพื่อนฝูงเป็นคนดี เพื่อนฝูงของผู้นั้นจะคอยอุปถัมภ์ช่วยเหลือเจือจุนท่านให้ได้รับความสบายในการทำการใด  ท่านจะได้ดีเพราะเพื่อนฝูงและพวกพ้องนั้น จะมีชีวิตอยู่ได้อย่างราบรื่น เพราะมีเพื่อนฝูงเป็นผู้ให้ความช่วยเหลืออยู่เสมอ  เพื่อนๆมีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
125,124,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ความเจริญรุ่งเรือง (สุภะ)","ท่านจะมีความร่มเย็นเป็นสุขในชีวิต มีความประสงค์สิ่งใด ๆ ก็จะได้สมความปรารถนาทุกประการ จะเป็นผู้มีโชคดี ในเรื่องเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ ซึ่งเจริญรุ่งเรื่อง ก้าวหน้า มีผู้แนะแนวทางให้"
126,124,"เพื่อนฝูง การติดต่อ (สหัชชะ) สัมพันธ์กับ ความเจริญรุ่งเรือง (สุภะ)","ท่านจะมีมิตรสหายดี มีเพื่อนฝูงพวกพ้องนำเอาความสำเร็จมาสู่ตนเสมอผู้นั้นจะไปติดต่อขอความช่วยเหลือจากท่านผู้ใดหรือจากเพื่อนฝูง มิตรสหายใด ๆ จะได้รับความสำเร็จเป็นที่พึงพอใจอย่างยิ่งผู้นั้นจะมีเพื่อนฝูงมาให้ข้อแนะนำหรือมาให้ทุนรอนในการประกอบหาเลี้ยงชีพจนตั้งเนื้อตั้งตัวได้ มีฐานะมั่นคง เพราะเพื่อนฝูงเป็นผู้ช่วยเหลือ เจือจุน ท่านจะมีชีวิตอยู่ในโลกอย่างอบอุ่น เพราะเป็นคนมีมิตรสหายที่ดี"
127,127,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ปัญหา อุปสรรค (อริ)","ท่านมักจะได้รับความเดือดร้อนเพราะเรื่องเงินๆทองๆอยู่ร่ำไป ไม่มีความสบายใจ มักมีปัญหาถูกโกงถูกเอาเปรียบเรื่องทรัพย์สินมรดกตกทอด  เงินทอง  ที่ดิน ธุรกิจ ผลประโยชน์ หรือหาเงินยากแต่ไม่พอใช้จ่าย เก็บเงินรักษาทรัพย์ไม่ได้"
128,127,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ หน้าที่การงาน (กัมมะ)","ท่านจะมีโชคในเรื่องประกอบอาชีพ ลงทุนแล้วคุ้มค่า ได้เงินเพราะการงานที่ท่านทำเต็มเม็ดเต็มหน่วย ถ้าค้าขายจะยิ่งมีโชคดีเพราะการขายจะมีผลกำไร อย่างยิ่ง จะทำให้ท่านได้รับความสุขจากเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ ที่ได้มา ท่านรู้จักการประกอบการทำมาหากินถูกกับชะตาชีวิตของท่าน ทำให้มีความสุขในชีวิตการงานการเงิน"
129,127,"ปัญหา อุปสรรค (อริ) สัมพันธ์กับ หน้าที่การงาน (กัมมะ)","ท่านจะประกอบกิจการงานอะไรก็ตาม มักจะเอาใจใส่ดีแต่ต้นมือเท่านั้น ครั้นเมื่อตอนปลายมือนั้นมักจะทอดธุระวางเสีย ไม่ค่อยจะเอาใจใส่ดูแล จึงทำให้กิจการงานที่ได้ประกอบทำไปแล้วนั้น ๆ ต้องเลิกล้มหรือเกิดอุปสรรคขึ้นโดยนานาประการ อาศัยเหตุที่ผู้นั้นมีนิสัยรักง่ายหน่ายเร็ว"
130,130,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ปัญหา อุปสรรค (อริ)","ท่านมักจะได้รับความเดือดร้อนเพราะเรื่องเงินๆทองๆอยู่ร่ำไป ไม่มีความสบายใจ มักมีปัญหาถูกโกงถูกเอาเปรียบเรื่องทรัพย์สินมรดกตกทอด  เงินทอง  ที่ดิน ธุรกิจ ผลประโยชน์ หรือหาเงินยากแต่ไม่พอใช้จ่าย เก็บเงินรักษาทรัพย์ไม่ได้"
131,130,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ เหน็จเหนื่อยเพื่อคนอื่น ส่วนรวม (ทาสา)","ท่านจะมีลูกน้องบริวารใช้สอย นำเอาความสำเร็จมาสู่ท่าน คือเป็นคนที่มีดวงชะตาชีวิต เป็นคนมีอำนาจแก่ลูกน้องบริวาร หรือหมู่คนที่อยู่ในความปกครองของท่าน ไม่ว่าจะใช้สอยหรือรับไหว้วานไปแล้วนั้น ๆ ก็จะนำความสำเร็จมาเสมอ เป็นคนที่มีอำนาจอยู่ในตัว มักจะได้รับเลือกเป็นหัวหน้า จัดเป็นคนที่มีเกณฑ์ชะตาชีวิตที่ดี แต่ท่านจะเหน็ดเหนื่อยในการหาทรัพย์ เพื่อผู้อื่น หรือสังคม"
132,130,"ปัญหา อุปสรรค (อริ) สัมพันธ์กับ เหน็จเหนื่อยเพื่อคนอื่น ส่วนรวม (ทาสา)","ท่านจะมีบริวารลูกน้องที่ไม่มีความซื่อตรง ทำคุณแก่คนไม่ขึ้น ถึงจะทำดีให้ความช่วยเหลือ แก่ใคร ๆ ก็ดี ก็ย่อมจะไม่ได้รับความดีตอบเลย ท่านเหมาะทำงานอิสระ จึงจะถูกกับชะตาของท่าน อย่าได้เข้าร่วมหุ้นหรือร่วมลงทุนกับใคร ๆ เพราะจะไม่เกิดผลดีกับท่านเลย ซ้ำยังจะนำความเดือดร้อนอีก ต้องระวังเรื่องการไปทำมาหากินในถิ่นอื่นไว้ให้มาก ถ้าเห็นผลแน่นอนแล้วจึงค่อยไป เพราะจะหาคนที่มีความซื่อตรงและหวังดีต่อท่านด้วยใจจริงนั้นได้ยาก"
133,133,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ปัญหา อุปสรรค (อริ)","ท่านมักจะได้รับความเดือดร้อนเพราะเรื่องเงินๆทองๆอยู่ร่ำไป ไม่มีความสบายใจ มักมีปัญหาถูกโกงถูกเอาเปรียบเรื่องทรัพย์สินมรดกตกทอด  เงินทอง  ที่ดิน ธุรกิจ ผลประโยชน์ หรือหาเงินยากแต่ไม่พอใช้จ่าย เก็บเงินรักษาทรัพย์ไม่ได้"
134,133,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ การเหน็จเหนื่อยเพื่อตัวเอง (ทาสี)","ท่านจะมีลูกน้องบริวารใช้สอย นำเอาความสำเร็จมาสู่ท่าน คือเป็นคนที่มีดวงชะตาชีวิต เป็นคนมีอำนาจแก่ลูกน้องบริวาร หรือหมู่คนที่อยู่ในความปกครองของท่าน ไม่ว่าจะใช้สอยหรือรับไหว้วานไปแล้วนั้น ๆ ก็จะนำความสำเร็จมาเสมอ เป็นคนที่มีอำนาจอยู่ในตัว มักจะได้รับเลือกเป็นหัวหน้า จัดเป็นคนที่มีเกณฑ์ชะตาชีวิตที่ดี แต่ท่านจะเหน็ดเหนื่อยในการหาทรัพย์ เก็บรักษาทรัพย์ไม่ค่อยได้"
135,133,"ปัญหา อุปสรรค (อริ) สัมพันธ์กับ การเหน็จเหนื่อยเพื่อตัวเอง (ทาสี)","ท่านจะมีบริวารลูกน้องที่ไม่มีความซื่อตรง ทำคุณแก่คนไม่ขึ้น ถึงจะทำดีให้ความช่วยเหลือ แก่ใคร ๆ ก็ดี ก็ย่อมจะไม่ได้รับความดีตอบเลย  ท่านเหมาะทำงานอิสระ จึงจะถูกกับชะตาของท่าน อย่าได้เข้าร่วมหุ้นหรือร่วมลงทุนกับใคร ๆ เพราะจะไม่เกิดผลดีกับท่านเลย ซ้ำยังจะนำความเดือดร้อนอีก ต้องระวังเรื่องการไปทำมาหากินในถิ่นอื่นไว้ให้มาก ถ้าเห็นผลแน่นอนแล้วจึงค่อยไป เพราะจะหาคนที่มีความซื่อตรงและหวังดีต่อท่านด้วยใจจริงนั้นได้ยาก"
136,136,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ปัญหา อุปสรรค (อริ)","ท่านมักจะได้รับความเดือดร้อนเพราะเรื่องเงินๆทองๆอยู่ร่ำไป ไม่มีความสบายใจ มักมีปัญหาถูกโกงถูกเอาเปรียบเรื่องทรัพย์สินมรดกตกทอด  เงินทอง  ที่ดิน ธุรกิจ ผลประโยชน์ หรือหาเงินยากแต่ไม่พอใช้จ่าย เก็บเงินรักษาทรัพย์ไม่ได้"
137,136,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ สิ่งไม่ดี เรื่องปิดบัง ซ่อนเร้น (พยายะ)","ท่านจะมีปัญหาเรื่องเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์บ่อย แม้จะลงทุนทำการค้าขายต่าง ๆ ก็มักจะผิดหวังขาดทุน   , ต้องล้มเลิกไป ท่านไม่ใคร่จะได้รับความราบรื่นในชีวิต หาทรัพย์ได้ยาก มีเพียงพอมีพอกินเท่านั้น , ท่านมีชะตาพอปานกลาง ไม่ถึงกับอุดมสมบูรณ์ หรือถึงกับตกทุกข์ได้ยาก , หรือท่านมีเงินเก็บที่ปิดบังซ่อนเร้นไว้ไม่ให้ใครรู้"
138,136,"ปัญหา อุปสรรค (อริ) สัมพันธ์กับ สิ่งไม่ดี เรื่องปิดบัง ซ่อนเร้น (พยายะ)","ท่านอย่าได้คบหาสมาคมกับผู้ที่มีความเป็นอยู่ต่ำกว่าตนเพราะจะเป็นคนที่นำความทุกข์ยาก และความร้อนใจมาให้แก่ท่านเสมอ ชะตาชีวิตของท่านไม่มีความแน่นอน ให้ระวังในเรื่องของ การคบหาสมาคมให้มาก และท่านมักเป็นคนที่มีโรคภัยไข้เจ็บ คอยเบียดเบียนอยู่เสมอ ท่านให้ระวังเรื่องสุขภาพของตนเองและผู้ที่อยู่ในความของท่านด้วย"
139,139,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ปัญหา อุปสรรค (อริ)","ท่านมักจะได้รับความเดือดร้อนเพราะเรื่องเงินๆทองๆอยู่ร่ำไป ไม่มีความสบายใจ มักมีปัญหาถูกโกงถูกเอาเปรียบเรื่องทรัพย์สินมรดกตกทอด  เงินทอง  ที่ดิน ธุรกิจ ผลประโยชน์ หรือหาเงินยากแต่ไม่พอใช้จ่าย เก็บเงินรักษาทรัพย์ไม่ได้"
140,139,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ เรื่องเจ็บป่วย (มรณะ)","ท่านจะเก็บรักษาทรัพย์สินไม่ได้ จะประกอบการงานสิ่งใด ๆ ทรัพย์สินเงินทองมากก็เก็บไว้ไม่อยู่ ลงทุนไม่ได้ผลกำไร ,  ทรัพย์สินอยู่ห่างไกล  , ไม่ได้ใช้ทรัพย์สินเงินทองที่หามาได้แล้วนั้นให้เกิดประโยชน์กับตน , ถูกคิดคดโกงเอาเปรียบ มักจะได้รับความเดือดร้อนในเรื่องการเงินการทองอยู่เสมอ ๆ"
141,139,"ปัญหา อุปสรรค (อริ) สัมพันธ์กับ เรื่องเจ็บป่วย (มรณะ)","ท่านจะเป็นคนที่ข้าศึกศัตรูอุปสรรค ปัญหาทำร้ายไม่ได้ ถึงมีก็แก้ไขได้ ท่านเป็นคนที่มีดีอยู่ในตัว เป็นคนที่มีอำนาจอยู่ในตัว ทำให้ไม่มีใครกล้ามาข่มเหง หรือเบียดเบียน และท่านเป็นคนที่มีใจรู้จักคิด เผื่อผู้อื่น จึงเป็นผู้ที่คนทั้งหลายรักใคร่นับถือยกย่องสรรเสริญ ซึ่งเหตุหนึ่งที่ทำให้ท่านไม่ค่อยจะมีศัตรูอุปสรรคปัญหามาคอยคิดเบียดเบียน"
142,142,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ปัญหา อุปสรรค (อริ)","ท่านมักจะได้รับความเดือดร้อนเพราะเรื่องเงินๆทองๆอยู่ร่ำไป ไม่มีความสบายใจ มักมีปัญหาถูกโกงถูกเอาเปรียบเรื่องทรัพย์สินมรดกตกทอด  เงินทอง  ที่ดิน ธุรกิจ ผลประโยชน์ หรือหาเงินยากแต่ไม่พอใช้จ่าย เก็บเงินรักษาทรัพย์ไม่ได้"
143,142,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ลาภยศ โชคลาภ (ลาภะ)","ท่านมักจะได้รับโชคดีในเรื่องเงิน ๆ ทองๆ ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ อยู่เสมอ และมักจะได้ประสบโชคลาภ ในเรื่องเงิน ๆทองๆ ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ อย่างไม่นึกฝัน ลงทุนทำสิ่งใดมักได้ผลดี"
144,142,"ปัญหา อุปสรรค (อริ) สัมพันธ์กับ ลาภยศ โชคลาภ (ลาภะ)","ท่านจะเป็นผู้เจริญด้วยลาภผลสิ่งใด ๆ ก็ดี ก็มักจะมีผู้ฉ้อโกงและแก่งแย่งเอาเปรียบ เอาไปเสีย ท่านจะมีสิ่งสินทรัพย์สักเพียงใด ๆ ก็ดี จะรักษาไว้ไม่ได้ ทำให้ท่านได้ลาภผลไม่เต็มที่ คือได้อย่างครึ่ง ๆ กลาง ๆ มิได้เต็มเม็ดเต็มหน่วย และท่านจะเป็นที่ได้รับความร้อนใจด้วยลาภผล ที่ตนจะได้มานั้นคือ ก่อนที่จะได้ลาภผลสิ่งใด ๆ นั้น ผู้นั้นย่อมจะได้รับความเดือดร้อนใจ และได้ประสบกับอุปสรรคนั้นมากนัก จึงจะได้ลาภผลนั้นมาทีหลัง เพราะเหตุว่าท่านเป็นคนที่มีชะตาชีวิตเป็นศัตรูกับโชคลาภของตน"
145,145,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ปัญหา อุปสรรค (อริ)","ท่านมักจะได้รับความเดือดร้อนเพราะเรื่องเงินๆทองๆอยู่ร่ำไป ไม่มีความสบายใจ มักมีปัญหาถูกโกงถูกเอาเปรียบเรื่องทรัพย์สินมรดกตกทอด  เงินทอง  ที่ดิน ธุรกิจ ผลประโยชน์ หรือหาเงินยากแต่ไม่พอใช้จ่าย เก็บเงินรักษาทรัพย์ไม่ได้"
146,145,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ความเจริญรุ่งเรือง (สุภะ)","ท่านจะมีความร่มเย็นเป็นสุขในชีวิต มีความประสงค์สิ่งใด ๆ ก็จะได้สมความปรารถนาทุกประการ จะเป็นผู้มีโชคดี ในเรื่องเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ ซึ่งเจริญรุ่งเรื่อง ก้าวหน้า มีผู้แนะแนวทางให้"
147,145,"ปัญหา อุปสรรค (อริ) สัมพันธ์กับ ความเจริญรุ่งเรือง (สุภะ)","ชีวิตท่านมักก้าวหน้าช้ากว่าคนอื่นๆ จะเป็นข้าราชการหรือประกอบการเลี้ยงชีพด้วยการงานทางใดก็ได้ ก็มักจะมีความหักโค่นลงไปในระหว่างกลาง ทำไปไม่ได้ตลอด ถึงจะมีข้าวของสิ่งใด ๆ ก็ดีก็มักจะเก็บไว้ไม่ได้ มักจะมีเหตุสูญสิ้นไปเสีย ถึงจะมีข้าคนบริวารลูกน้องก็คอยคิดเบียดเบียนกวนใจท่านอยู่เสมอ"
148,148,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ตระกูลดั้งเดิมข้างฝ่ายพ่อ ของท่านเป็นตระกูลผู้ดีมีวาสนา มีทรัพย์สินมรดกตกทอด  เงินทอง ที่ดิน ธุรกิจ ผลประโยชน์ ฐานะการเงินของพ่อท่านดี ท่านจะมีฐานะเช่นพ่อของท่าน สืบทอดกิจการมรดกจากพ่อ , ผู้หลักผู้ใหญ่ที่นับถือ เจ้านาย ช่วยเรื่องเงินๆทอง ๆท่านเสมอ , ท่านมักได้ทรัพย์สินเงินทองจากการบริหารจัดการ มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ ธุรกิจเสมอๆ"
149,148,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ หน้าที่การงาน (กัมมะ)","พ่อของท่านเป็นคนที่มีความขยันหมั่นเพียร รู้จักในเรื่องการทำมาหากิน ไม่ชอบพึ่งพาอาศัยผู้อื่น จะทำการงานสิ่งใดก็มักจะมีความมั่นใจด้วยตนเองและการงานที่ทำนั้นก็จะลุล่วงไปได้โดยดี มีผลอันน่าพึงพอใจ ทำให้พ่อของท่านเป็นคนมีฐานะเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ มั่นคง , ท่านสืบทอดงานดูแลกิจการต่อจากพ่อ, ทำงานเกี่ยวข้องกับผู้หลักผู้ใหญ่ , ทำงานเรื่องบริหารจัดการดี"
150,148,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ หน้าที่การงาน (กัมมะ)","ท่านมีสติปัญญาดีเป็นคนที่มีความรู้ ความสามารถดียิ่ง ที่รู้จักหลักของการประกอบอาชีพ จะเป็นผู้ที่ได้รับผลของการงานที่ทำนั้น ท่านมีความมานะอดทน ตั้งหน้าทำมาหากินอย่างไม่เห็นแก่เหน็ดเหนื่อย และท่านมักจะเป็นคนมีโชคดีในเรื่องการของการซื้อขายเสมอ ค้าขายดี เป็นคนที่หากินแต่ในทางที่ซื่อสัตย์และสุจริต เป็นคนใจเย็น รู้จักผ่อนยาว เป็นคนที่มีความเมตตาสงสารต่อผู้ที่ต่ำตอยกว่าตน โดยให้ความช่วยเหลือในสิ่งที่ไม่เหลือบ่ากว่าแรง"
151,151,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ตระกูลดั้งเดิมข้างฝ่ายพ่อ ของท่านเป็นตระกูลผู้ดีมีวาสนา มีทรัพย์สินมรดกตกทอด  เงินทอง ที่ดิน ธุรกิจ ผลประโยชน์ ฐานะการเงินของพ่อท่านดี ท่านจะมีฐานะเช่นพ่อของท่าน สืบทอดกิจการมรดกจากพ่อ , ผู้หลักผู้ใหญ่ที่นับถือ เจ้านาย ช่วยเรื่องเงินๆทอง ๆท่านเสมอ , ท่านมักได้ทรัพย์สินเงินทองจากการบริหารจัดการ มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ ธุรกิจเสมอๆ"
152,151,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ เหน็จเหนื่อยเพื่อคนอื่น ส่วนรวม (ทาสา)","พ่อของท่านเป็นคนรักครอบครัวดี  เหน็จเหนื่อยทำมาหาดินเพื่อครอบครัวเสมอ พ่อเป็นที่พึ่งของคนทั่ว ๆ ไปทำงานเหน็ดเหนื่อยเพื่อส่วนรวมหรือคนอื่นๆ , ทำการใดคนทั่วๆไปที่สูงวัยกว่าให้ความช่วยเหลือ ร่วมมือดี , พ่อมักทำงานราชการ"
153,151,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ เหน็จเหนื่อยเพื่อคนอื่น ส่วนรวม (ทาสา)","ท่านจะใช้หรือไห้ววานผู้ใดผู้หนึ่ง ทำกิจการงานใด ๆ เขาก็มักจะเรียกค่าจ้างและรางวัลก่อนเสมอ ก็เพราะเขาหวังประโยชน์อย่างใดอย่างหนึ่ง จึงได้มาคบหากับท่าน ไม่มีผู้ที่จะคบหากับผู้นั้นด้วยความบริสุทธิ์ใจเลย ถึงท่านจะให้ความช่วยเหลือเลี้ยงดู ต่อผู้ที่ได้เข้ามาอยู่ในความปกครองของท่านสักเท่าไรก็ตาม เขาก็ไม่ได้มีความจงรักภักดีต่อท่าน โดยความบริสุทธิ์ใจ เมื่อท่านอับจนหรือตกต่ำลงไปเวลาใดเขาเหล่านั้นก็จะพากันปลีกตัวหนีจากท่านหมด โดยมิได้มีความห่วงใยและนึกถึงบุญคุณของท่านเลย ท่านทำคุณแก่คนไม่ขึ้น"
154,154,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ตระกูลดั้งเดิมข้างฝ่ายพ่อ ของท่านเป็นตระกูลผู้ดีมีวาสนา มีทรัพย์สินมรดกตกทอด  เงินทอง ที่ดิน ธุรกิจ ผลประโยชน์ ฐานะการเงินของพ่อท่านดี ท่านจะมีฐานะเช่นพ่อของท่าน สืบทอดกิจการมรดกจากพ่อ , ผู้หลักผู้ใหญ่ที่นับถือ เจ้านาย ช่วยเรื่องเงินๆทอง ๆท่านเสมอ , ท่านมักได้ทรัพย์สินเงินทองจากการบริหารจัดการ มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ ธุรกิจเสมอๆ"
155,154,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ การเหน็จเหนื่อยเพื่อตัวเอง (ทาสี)","พ่อของท่านเป็นคนรักครอบครัวดี  เหน็จเหนื่อยทำมาหาดินเพื่อครอบครัวเสมอ ,ทำการใดลูกน้องบริวารที่สูงวัยกว่าให้ความช่วยเหลือ ร่วมมือดี , พ่อมักทำงานราชการ"
156,154,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ การเหน็จเหนื่อยเพื่อตัวเอง (ทาสี)","ท่านจะใช้หรือไห้ววานผู้ใดผู้หนึ่ง ทำกิจการงานใด ๆ เขาก็มักจะเรียกค่าจ้างและรางวัลก่อนเสมอ ก็เพราะเขาหวังประโยชน์อย่างใดอย่างหนึ่ง จึงได้มาคบหากับท่าน ไม่มีผู้ที่จะคบหากับผู้นั้นด้วยความบริสุทธิ์ใจเลย ถึงท่านจะให้ความช่วยเหลือเลี้ยงดู ต่อผู้ที่ได้เข้ามาอยู่ในความปกครองของท่านสักเท่าไรก็ตาม เขาก็ไม่ได้มีความจงรักภักดีต่อท่าน โดยความบริสุทธิ์ใจ เมื่อท่านอับจนหรือตกต่ำลงไปเวลาใดเขาเหล่านั้นก็จะพากันปลีกตัวหนีจากท่านหมด โดยมิได้มีความห่วงใยและนึกถึงบุญคุณของท่านเลย ท่านทำคุณแก่คนไม่ขึ้น"
157,157,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ตระกูลดั้งเดิมข้างฝ่ายพ่อ ของท่านเป็นตระกูลผู้ดีมีวาสนา มีทรัพย์สินมรดกตกทอด  เงินทอง ที่ดิน ธุรกิจ ผลประโยชน์ ฐานะการเงินของพ่อท่านดี ท่านจะมีฐานะเช่นพ่อของท่าน สืบทอดกิจการมรดกจากพ่อ , ผู้หลักผู้ใหญ่ที่นับถือ เจ้านาย ช่วยเรื่องเงินๆทอง ๆท่านเสมอ , ท่านมักได้ทรัพย์สินเงินทองจากการบริหารจัดการ มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ ธุรกิจเสมอๆ"
158,157,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ สิ่งไม่ดี เรื่องปิดบัง ซ่อนเร้น (พยายะ)","พ่อของท่าน จะมีโรคมักเจ็บไข้ได้ป่วยอยู่เสมอ ท่านไม่ค่อยได้รับความช่วยเหลือจากพ่อเท่าไรนัก เมื่อพบเห็นกันเข้าก็ไม่ค่อยถูกลงรอยกัน ไม่ค่อยคุยกันแม้อยู่บ้านเดียวกัน อาจไม่ทะเลาะกันแต่ก็เฉยๆกันไป  เมื่อเติบโตขึ้นมักจะพลัดพราก หรือต้องอยู่ห่างไกลจากพ่อและแม่ , มักมีเรื่องปิดบังซ่อนเร้น ผู้หลักผู้ใหญ่ เจ้านาย"
159,157,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ สิ่งไม่ดี เรื่องปิดบัง ซ่อนเร้น (พยายะ)","ท่านไม่ค่อยมีโชคทางการเงิน ถึงแม้ว่าจะเป็นคนที่ได้รับทรัพย์สินมรดก สิ่งของนั้น ๆ มักจะมีตำหนิและได้โดยไม่เต็มเม็ดเต็มหน่วย มักจะมีผู้คอยตัดรอนหรือเอาเปรียบไปเสีย  ทรัพย์สินที่ท่านมีอยู่นั้นต้องหมดไป  ไม่มีบุญวาสนาที่จะให้ครอบครอง ทรัพย์สินเงินทองนั้น ๆ ไว้ได้และเป็นคนสุรุ่ยสุร่ายในเรื่องการเงิน การทอง เมื่อถึงคราวมั่งมีก็จะใช้จ่ายอย่าไม่กลัวหมดกลัวเปลืองเลย ต่อเมื่อหมดแล้ว จึงจะกลับคิดได้ ชะตาชีวิตของท่าน เป็นชะตาชีวิตที่จะรักษาสิ่งใดไว้ไม่ได้ตลอดไป มักจะมีอันเป็นไปโดยที่ไม่ได้นึกฝันเลย , ความผิดหวังด้านทรัพย์สิน , การยึดคืน"
160,160,"พ่อหรือผู้ใหญ่ เรื่องนอกบ้าน (ปิตา) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ตระกูลดั้งเดิมข้างฝ่ายพ่อ ของท่านเป็นตระกูลผู้ดีมีวาสนา มีทรัพย์สินมรดกตกทอด  เงินทอง ที่ดิน ธุรกิจ ผลประโยชน์ ฐานะการเงินของพ่อท่านดี ท่านจะมีฐานะเช่นพ่อของท่าน สืบทอดกิจการมรดกจากพ่อ , ผู้หลักผู้ใหญ่ที่นับถือ เจ้านาย ช่วยเรื่องเงินๆทอง ๆท่านเสมอ , ท่านมักได้ทรัพย์สินเงินทองจากการบริหารจัดการ มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ ธุรกิจเสมอๆ"
